unit_id;okpo_code;okpo_s1c8;ipn;unit_name;full_unit_name;legal_entity_type;note
000011581;3470108516;3470108516;;;OII Iaeai?oe Iaca? ?iiaiiae?;??. iniaa;
000009706;1;;;Ae?enaoia Aieo?i ???eiae? OII; Ae?enaoia Aieo?i ???eiae? OII;??. iniaa;
000011609;39785299;39785299;;"""AEEI?A IEAO?IOI"" III";OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "AEEI?A IEAO?IOI";??. iniaa;
000010293;44946798;;;EIIAEN OA III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "OI?AIAEE A?I EIIAEN";??. iniaa;
000011618;37620573;37620573;;«I?NOA? IOAA?» III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? «I?NOA? IOAA?»;??. iniaa;
000000001;43151888;43151888;;7AIEIA? IEAOOI?IA III;77AIEIA? IEAOOI?IA OIA;??. iniaa;
000009964;42770476;42770476;;7AI?IA? OA;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "7AI?IA? OA";??. iniaa;
000010106;42865274;42865274;;7AI?IA?.OA;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "7AI?IA?.OA";??. iniaa;
000010118;3;;;Advokaadiburoo SORAINEN AS;Advokaadiburoo SORAINEN AS;??. iniaa;
000009648;4;AM-INVEST;;AM-INVEST LTD;AM-INVEST LTD;??. iniaa;
000000004;5;DISA TRADE;;DISA TRADE;DISA TRADE;??. iniaa;
000000008;6;HOLYOKE LL;;Holyoke LLC;Holyoke LLC;??. iniaa;
000010246;7;;;HOLYOKE LLG;HOLYOKE LLG;??. iniaa;
000000009;8;HOLYOKE LP;;Holyoke LP;Holyoke LP;??. iniaa;
000009894;37570643;37570643;;IAO III; OIA "IAO";??. iniaa;
000010216;42108166;42108166;;IEIAO III;IEIAO OIA;??. iniaa;
000011757;40563552;40563552;;KPEMTPAHC KOMIAHI III;TQB KPEMTPAHC KOMIAHI ;??. iniaa;
000011311;9;;;MIRZAGHITOV srl;MIRZAGHITOV srl;??. iniaa;
000011446;10;;;Rustavi Steel LLC2;Rustavi Steel LLC2;??. iniaa;
000011346;11;;;SRL "MIRZAGHITOV AND Co" Iieaiaa;"SRL ""MIRZAGHITOV AND Co"" Iieaiaa,";??. iniaa;
000011195;12;;;SUNCHINE INTERNATIONAL CO LTD;"SUNCHINE INTERNATIONAL CO., LTD";??. iniaa;
000011590;13;;;TPEBEE TPAK III;TOB TPEBEE TPAK;??. iniaa;
000011334;3467311539;3467311539;;Zakaradze Zurab;Zakaradze Zurab;??. iniaa;
000000028;43277447;43277447;432774404619;A IE?N O?AEA III;OIA "A IE?N O?AEA";??. iniaa;
000000029;34917040;34917040;349170404676;AAAIAA?A III;III "A.A.A.I.A.A.?.A.";??. iniaa;
000000030;40628991;40628991;406289904638;Aaaoea Oaiea III;"""Aaaoea Oaiea""  OIA";??. iniaa;
000010443;14; ;;Aaeei AA ?I;?I Aaeei A.A.;;
000010444;41049964; ;;Aanie?o iaoaee III;Aanie?o iaoaee III;;
000000031;41049964;41049964;410499626556;Aanie?o iaoaee III;OIA "AANIE?O IAOAE";??. iniaa;
000000032;37266040;37266040;372660426556;AANIE?O NOEE III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "AANIE?O NO?EE";??. iniaa;
000000033;33541378;33541378;335413726519;Aanie?o-aoa III;OIA "AANIE?O-AOA";??. iniaa;
000000034;32510354;32510354;325103504630;Aanie?o-Noaeu III;OIA "Aanie?o-Noaeu";??. iniaa;
000010172;41162180;41162180;411621825164;AA ?IAANO??AE A?OI III;OIA «AA ?IAANO??AE A?OI»;??. iniaa;
000000036;36441934;36441934;364419304624;AA Iaoaee a?oii III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "AA IAOAE A?OI";??. iniaa;
000000037;40086235;40086235;;AA O?AEAEIA;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "AA O?AEAEIA";??. iniaa;
000000038;39235702;39235702;392357026505;AAAEII OI III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "OI AAAEII";??. iniaa;
000000039;34822278;34822278;348222700463;AAAEII-Oaen III;"""AAAEII-Oaen"" III(a?aiaa)";??. iniaa;
000010344;38466945;38466945;384669410138;AAAIAA?A A?EA III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "AAAIAA?A A?EA";??. iniaa;
000000040;37068326;37068326;370683204629;Aaaiaa?a a?oiia III;OIA "A?OIA AAAIAA?A";??. iniaa;
000000041;41598015;41598015;415980126513;AAAIAA?A IAOAE III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "AAAIAA?A IAOAE";??. iniaa;
000000042;19157520;19157520;191575204721;Aaaiaa?a I?I;"""Aaaiaa?a"" I?I";??. iniaa;
000000043;32298632;32298632;322986304627;Aaaiaa?a III;"""Aaaiaa?a"" III";??. iniaa;
000000044;21377944;21377944;213779423231;Aaaiaa?a III Oiaiu;OIA "AAAIAA?A";??. iniaa;
000010024;38319139;38319139;383191311263;AAAIAA?A-EIIIAI? III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "AAAIAA?A-EIIIAI?";??. iniaa;
000000045;39717229;39717229;397172225266;Aaaio OE III;OIAA?ENOAI C IAIA?AII? A?AIIA?AAEUI?NO? "OI?AIAA EIIIAI??"AAAIO";??. iniaa;
000000046;31770505;31770505;317705004676;Aaaioa III;III "Aaaioa";??. iniaa;
000000047;25528452;25528452;255284504646;Aaaioa? III;"""Aaaioa?"" III";??. iniaa;
000000048;40999785;40999785;409997805153;Aaaio-Aa?a EOA III;OIA "EOA AAAIO-AA?A";??. iniaa;
